GEOID,neighborhood_name
131210094053,Peachtree Hills
131210094052,Peachtree Hills
131210067012,High Point
131210044002,Pittsburgh
131210092012,Lindridge/Martin Manor
131210091062,Brookwood Hills
131210093023,Peachtree Hills
131210094082,Lindbergh/Morosgo
131210102113,East Chastain Park
131210099001,Kingswood
131210079004,Green Forest Acres
131210042003,Adair Park
131210120003,Mechanicsville
131210098031,Castlewood
131210099002,Castlewood
131210095042,Garden Hills
131210096051,Garden Hills
131210050002,Ormewood Park
131210096041,Garden Hills
131210048002,Summerhill
131210119012,Grant Park
131210099003,Mt. Paran/Northside
131210100071,Lenox
131210082043,Harland Terrace
131210098023,Mt. Paran/Northside
131210096071,Lenox
131210078073,Adamsville
131210082041,Collier Heights
131210081032,Chalet Woods
131210081041,Beecher Hills
131210091041,Collier Hills
131210093022,Peachtree Hills
131210002011,Morningside/Lenox Park
131210091052,Brookwood Hills
131210094091,Pine Hills
131210002012,Morningside/Lenox Park
131210006023,Marietta Street Artery
131210006011,Marietta Street Artery
131210002021,Virginia Highland
131210002023,Virginia Highland
131210021003,Downtown
131210015022,Atkins Park
131210015012,Poncey-Highland
131210082032,Center Hill
131210103052,Fairway Acres
131210103051,Wildwood Forest
131210078091,Wildwood Forest
131210082042,Fairburn Heights
131210081031,Peyton Forest
131210078102,Fairburn
131210077111,Princeton Lakes
131210081042,Audobon Forest
131210113093,Greenbriar
131210078083,Harland Terrace
131210078093,Sandlewood Estates
131210083013,Dixie Hills
131210081043,Cascade Avenue/Road
131210084003,Grove Park
131210061003,Cascade Avenue/Road
131210055041,Lakewood Heights
131210091043,Peachtree Hills
131210055031,Joyland
131210043003,Pittsburgh
131210013021,Old Fourth Ward
131210012031,Old Fourth Ward
131210017021,Old Fourth Ward
131210018012,Old Fourth Ward
131210014002,Old Fourth Ward
131210015011,Candler Park
131210103121,Midwest Cascade
131210095032,Garden Hills
131210094071,Pine Hills
131210095031,Garden Hills
131210100062,Peachtree Park
131210001003,Morningside/Lenox Park
131210005022,Midtown
131210094111,Pine Hills
131210094061,Lindbergh/Morosgo
131210092022,Ansley Park
131210096061,Lindbergh/Morosgo
131210103072,Huntington
131210077093,Princeton Lakes
131210072003,Blair Villa/Poole Creek
131210017011,Old Fourth Ward
131210073011,Blair Villa/Poole Creek
131210108022,Glenrose Heights
131210073012,Glenrose Heights
131210007001,Grove Park
131210118011,Historic Westin Heights/Bankhead
131210087012,Carey Park
131210077103,Ben Hill
131210077053,Continental Colony
131210112031,Fort Valley
131210013022,Old Fourth Ward
131210089032,Hills Park
131210074003,Glenrose Heights
131210089054,Blandtown
131210091031,Ardmore
131210090011,Channing Valley
131210073013,Glenrose Heights
131210073022,Blair Villa/Poole Creek
131210067011,Betmar LaVilla
131210098032,Westminster/Milmar
131210093021,Peachtree Hills
131210093011,Peachtree Hills
131210092011,Morningside/Lenox Park
131210100042,North Buckhead
131210081033,Peyton Heights
131210096053,Peachtree Park
131210096052,Garden Hills
131210096044,Garden Hills
131210096072,Lenox
131210052004,East Atlanta
131210096073,Lenox
131210078062,Fairburn Mays
131210078072,Adamsville
131210083011,Florida Heights
131210025002,Washington Park
131210119021,Grant Park
131210030001,Cabbagetown
131210078053,Adamsville
131210070023,Lakewood Heights
131210055011,Peoplestown
131210082024,Old Gordon
131210075002,Sylvan Hills
131210078082,Adamsville
131210072001,Blair Villa/Poole Creek
131210060001,Westview
131210023001,Vine City
131210076022,Adams Park
131210062002,Oakland City
131210084001,Hunter Hills
131210016001,Inman Park
131210023003,Washington Park
131210024001,Atlanta University Center
131210029001,Sweet Auburn
131210031001,Reynoldstown
131210039001,West End
131210040001,Penelope Neighbors
131210076021,Pomona Park
131210001002,Virginia Highland
131210040002,Penelope Neighbors
131210040003,Mozley Park
131210041001,West End
131210041002,West End
131210041003,West End
131210042001,Harris Chiles
131210049001,Summerhill
131210052001,East Atlanta
131210052002,Woodland Hills
131210053001,Boulevard Heights
131210053003,Chosewood Park
131210053002,Peoplestown
131210060002,Westwood Terrace
131210060003,Cascade Avenue/Road
131210060004,Cascade Avenue/Road
131210061002,Cascade Avenue/Road
131210064001,Lakewood Heights
131210065001,Lakewood Heights
131210065002,Sylvan Hills
131210062001,Oakland City
131210068021,Norwood Manor
131210069001,Custer/McDonough/Guice
131210069002,Thomasville Heights
131210069003,Custer/McDonough/Guice
131210070013,Glenrose Heights
131210120002,Peoplestown
131210048001,Capitol Gateway
131210120001,Peoplestown
131210061001,Cascade Avenue/Road
131210085003,Almond Park
131210065004,Capitol View
131210044001,Pittsburgh
131210066011,Sylvan Hills
131210066021,Venetian Hills
131210080002,Venetian Hills
131210080001,Fort McPherson
131210070021,Browns Mill Park
131210080003,Adams Park
131210077052,Greenbriar
131210077031,Meadowbrook Forest
131210078063,Fairburn Mays
131210079001,Cascade Heights
131210010011,Georgia Tech
131210096011,Peachtree Heights West
131210080005,Adams Park
131210086021,Center Hill
131210082023,Fairburn Heights
131210096012,South Tuxedo Park
131210077051,Continental Colony
